scale	engine	workload	rows_avg
100	influx	devops	133466
100	influx	iot	204389
100	questdb	devops	504836
100	questdb	iot	1056170
100	timescaledb	devops	264896
100	timescaledb	iot	334567
100	victoriametrics	devops	252784
100	victoriametrics	iot	446856
200	influx	devops	129301
200	influx	iot	195781
200	questdb	devops	388413
200	questdb	iot	749881
200	timescaledb	devops	262220
200	timescaledb	iot	368316
200	victoriametrics	devops	284121
200	victoriametrics	iot	436825
300	influx	devops	122966
300	influx	iot	182898
300	questdb	devops	349212
300	questdb	iot	670186
300	timescaledb	devops	269605
300	timescaledb	iot	354850
300	victoriametrics	devops	289868
300	victoriametrics	iot	471309
400	influx	devops	118058
400	influx	iot	176395
400	questdb	devops	313529
400	questdb	iot	649787
400	timescaledb	devops	263085
400	timescaledb	iot	347639
400	victoriametrics	devops	288163
400	victoriametrics	iot	459024
500	influx	devops	119804
500	influx	iot	164696
500	questdb	devops	300139
500	questdb	iot	580566
500	timescaledb	devops	271737
500	timescaledb	iot	354411
500	victoriametrics	devops	299681
500	victoriametrics	iot	443817
600	influx	devops	116404
600	influx	iot	165357
600	questdb	devops	285031
600	questdb	iot	582761
600	timescaledb	devops	273687
600	timescaledb	iot	348819
600	victoriametrics	devops	291431
600	victoriametrics	iot	431394
700	influx	devops	116004
700	influx	iot	161135
700	questdb	devops	295360
700	questdb	iot	576900
700	timescaledb	devops	273510
700	timescaledb	iot	346703
700	victoriametrics	devops	289533
700	victoriametrics	iot	418486
800	influx	devops	115436
800	influx	iot	157168
800	questdb	devops	289604
800	questdb	iot	572118
800	timescaledb	devops	271150
800	timescaledb	iot	342585
800	victoriametrics	devops	292116
800	victoriametrics	iot	400772
900	influx	devops	111587
900	influx	iot	152283
900	questdb	devops	285789
900	questdb	iot	562880
900	timescaledb	devops	268365
900	timescaledb	iot	343460
900	victoriametrics	devops	285741
900	victoriametrics	iot	400248
1000	influx	devops	111399
1000	influx	iot	149874
1000	questdb	devops	279725
1000	questdb	iot	528388
1000	timescaledb	devops	270841
1000	timescaledb	iot	340360
1000	victoriametrics	devops	284611
1000	victoriametrics	iot	396564
4000	influx	devops	78709
4000	influx	iot	98111
4000	questdb	devops	221005
4000	questdb	iot	359969
4000	timescaledb	devops	255651
4000	timescaledb	iot	312764
4000	victoriametrics	devops	231709
4000	victoriametrics	iot	308441
